"Variables ->","y","cpi","i","l_y","l_cpi","dl_cpi","l_y_tnd","l_y_gap","l_y_tnd0","l_y_gap0","l_y_tnd1","l_y_gap1","l_y_tnd2","l_y_gap2"
"Comments ->","US GDP at market prices, chain linked 2012 prices, seasonally adjusted","CPI US,  seasonally adjusted","Fed Funds effective interest rate (% p.a.)","US GDP at market prices, chain linked 2012 prices, seasonally adjusted","CPI US,  seasonally adjusted","CPI US,  seasonally adjusted","US GDP at market prices, chain linked 2012 prices, seasonally adjusted","US GDP at market prices, chain linked 2012 prices, seasonally adjusted","US GDP at market prices, chain linked 2012 prices, seasonally adjusted","US GDP at market prices, chain linked 2012 prices, seasonally adjusted","US GDP at market prices, chain linked 2012 prices, seasonally adjusted","US GDP at market prices, chain linked 2012 prices, seasonally adjusted","US GDP at market prices, chain linked 2012 prices, seasonally adjusted","US GDP at market prices, chain linked 2012 prices, seasonally adjusted"
"Class[Size] ->","Series[93-by-1]","Series[93-by-1]","Series[93-by-1]","Series[93-by-1]","Series[93-by-1]","Series[93-by-1]","Series[93-by-1]","Series[93-by-1]","Series[93-by-1]","Series[93-by-1]","Series[93-by-1]","Series[93-by-1]","Series[93-by-1]","Series[93-by-1]"
"1999Q1",12410.778,NaN,4.73333,942.6320567611551,NaN,NaN,943.6452208219922,-1.013164060837084,943.4796613808155,-0.8476046196603875,943.6476512754635,-1.015594514308418,943.645033571161,-1.012976810005853
"1999Q2",12514.408,NaN,4.74667,943.4635899510924,NaN,NaN,944.2800744185457,-0.8164844674532787,944.2785650208652,-0.8149750697727995,944.2828194463663,-0.8192294952738166,944.2800893746899,-0.8164994235974063
"1999Q3",12679.977,NaN,5.09333,944.7779414109445,NaN,NaN,944.9142947875614,-0.136353376616853,945.0689926147179,-0.2910512037733497,944.9173528706978,-0.1394114597532052,944.9145120677126,-0.1365706567680718
"1999Q4",12888.281,NaN,5.30667,946.4073727846932,NaN,NaN,945.5467383987094,0.860634385983758,945.8343183654787,0.5730544192144862,945.5501047834525,0.8572680012406408,945.5471582275828,0.8602145571103392
"2000Q1",12935.252,NaN,5.67667,946.771157645587,NaN,NaN,946.1761765007996,0.5949811447874254,946.555005964215,0.2161516813720255,946.1798412874634,0.5913163581235494,946.1767990749938,0.5943585705931582
"2000Q2",13170.749,NaN,6.27333,948.5753664798251,NaN,NaN,946.8019182391331,1.773448240692005,947.2172496461864,1.358116833638746,946.8058642780643,1.769502201760815,946.8027434647374,1.772623015087675
"2000Q3",13183.89,NaN,6.52,948.6750908667843,NaN,NaN,947.423644622226,1.251446244558338,947.8094051634664,0.8656857033179222,947.4278452233125,1.247245643471842,947.4246717257131,1.250419141071234
"2000Q4",13262.25,NaN,6.47333,949.2676932603196,NaN,NaN,948.0421450637447,1.225548196574891,948.3334094364651,0.9342838238544573,948.046561530142,1.221131730177603,948.0433720762045,1.22432118411507
"2001Q1",13219.251,NaN,5.59333,948.9429455219695,NaN,NaN,948.6589911312587,0.2839543907107327,948.7998562426257,0.1430892793438261,948.6635701340141,0.2793753879553833,948.6604142464597,0.2825312755097684
"2001Q2",13301.394,NaN,4.32667,949.5624120747524,NaN,NaN,949.2765203599608,0.2858917147915463,949.2286821976295,0.3337298771228916,949.2811911777216,0.2812208970308347,949.2781331674663,0.2842789072860796
"2001Q3",13248.142,NaN,3.49667,949.1612595166631,NaN,NaN,949.8972477565377,-0.7359882398745867,949.6412548099514,-0.4799952932883116,949.9019194136745,-0.7406598970113691,949.8990403522597,-0.7377808355965954
"2001Q4",13284.881,NaN,2.13333,949.4381900682963,NaN,NaN,950.5238670099978,-1.085676941701536,950.0622788868372,-0.6240888185409403,950.5284253573442,-1.090235289047882,950.5258249881936,-1.087634919897255
"2002Q1",13394.91,NaN,1.73333,950.2630063031164,NaN,NaN,951.1586118166999,-0.8956055135835186,950.5116592826002,-0.2486529794838361,951.1629166117663,-0.8999103086498508,951.1607151495992,-0.8977088464828284
"2002Q2",13477.356,NaN,1.75,950.8766222794621,NaN,NaN,951.8030373249145,-0.9264150454523588,951.0030599633685,-0.1264376839063743,951.8069193829216,-0.930297103459452,951.8052591389837,-0.928636859521589
"2002Q3",13531.741,NaN,1.74,951.2793389900701,NaN,NaN,952.4581389294658,-1.178799939395731,951.5476583654753,-0.2683193754052127,952.4613974328485,-1.182058442778384,952.4604441908255,-1.181105200755383
"2002Q4",13549.421,NaN,1.44333,951.4099094767561,NaN,NaN,953.1243330157745,-1.714423539018412,952.1553675484148,-0.7454580716587316,953.1267330878962,-1.716823611140171,953.1266771415653,-1.716767664809254
"2003Q1",13619.434,NaN,1.25,951.9253022305498,NaN,NaN,953.8012992192989,-1.87599698874908,952.8334173779275,-0.9081151473776572,953.8025698878874,-1.877267657337597,953.8036266368943,-1.878324406344404
"2003Q2",13741.107,NaN,1.24667,952.8147130216528,NaN,NaN,954.4876456607858,-1.672932639133023,953.581583139038,-0.7668701173852241,954.4874783578873,-1.672765336234534,954.4898883427131,-1.675175321060351
"2003Q3",13970.157,NaN,1.01667,954.4678690555788,NaN,NaN,955.1808079628642,-0.7129389072853201,954.3905589652973,0.07731009028157132,955.178855730676,-0.7109866750971605,955.1828839721684,-0.7150149165895527
"2003Q4",14131.379,NaN,0.996667,955.6153064688727,NaN,NaN,955.8771761652636,-0.2618696963908178,955.2433702890823,0.3719361797903957,955.873053760699,-0.2577472918262629,955.8789882538309,-0.2636817849581803
"2004Q1",14212.34,NaN,1.00333,956.1865880299732,NaN,NaN,956.5726947208962,-0.3861066909229294,956.1238156436732,0.06277238630002557,956.5659798357304,-0.3793918057572228,956.5741290319495,-0.3875410019762739
"2004Q2",14323.017,NaN,1.01,956.9623102681346,NaN,NaN,957.2631444141134,-0.3008341459787971,957.0194129241481,-0.05710265601351239,957.2533802514868,-0.2910699833521448,957.2640693496566,-0.3017590815219364
"2004Q3",14457.832,NaN,1.43333,957.8991553628297,NaN,NaN,957.9440647125849,-0.04490934975524397,957.9183077494483,-0.01915238661865715,957.9307641838061,-0.03160882097643025,957.9443300369593,-0.04517467412961196
"2004Q4",14605.595,NaN,1.95,958.9159953464796,NaN,NaN,958.6108070626387,0.3051882838408346,958.8080747119541,0.1079206345254988,958.5934588897863,0.3225364566932285,958.6102433244389,0.3057520220406786
"2005Q1",14767.846,NaN,2.47,960.0207528735932,NaN,NaN,959.2586948422586,0.7620580313346181,959.67609688018,0.3446559934131983,959.2367718710124,0.7839810025808447,959.2571132085062,0.7636396650869983
"2005Q2",14839.707,NaN,2.94333,960.5061772591148,NaN,NaN,959.8832421721055,0.6229350870092958,960.5108365289861,-0.004659269871353899,959.8562122143553,0.6499650447594831,959.8804347805853,0.6257424785294461
"2005Q3",14956.291,NaN,3.46,961.2887292981801,NaN,NaN,960.4804394591097,0.8082898390704258,961.3042024931667,-0.01547319498661182,960.4477789948133,0.8409503033667534,960.4761804068921,0.8125488912879746
"2005Q4",15041.232,NaN,3.98,961.8550509042607,NaN,NaN,961.0466664446304,0.808384459630247,962.048057014817,-0.1930061105563254,961.0078775155373,0.8471733887233768,961.0407135426921,0.8143373615686187
"2006Q1",15244.088,NaN,4.45667,963.1947034740143,NaN,NaN,961.5788080511763,1.61589542283798,962.7341076040823,0.4605958699320354,961.5334386736184,1.661264800395884,961.5709054863086,1.623797987705757
"2006Q2",15281.525,NaN,4.90667,963.4399861405379,NaN,NaN,962.0742544415432,1.36573169899475,963.3521317100024,0.08785443053557174,962.0219228495166,1.418063291021326,962.0641364969165,1.37584964362145
"2006Q3",15304.517,NaN,5.24667,963.5903292567261,NaN,NaN,962.5314057131659,1.05892354356024,963.8965127403161,-0.3061834835899617,962.4718287141917,1.118500542534434,962.5188017074333,1.071527549292796
"2006Q4",15433.643,NaN,5.24667,964.4305015999738,NaN,NaN,962.9495155457911,1.480986054182722,964.3625126470672,0.06798895290660312,962.8825412281606,1.547960371813247,962.9341561568041,1.49634544316973
"2007Q1",15478.956,204.317,5.25667,964.7236703008948,531.9672709326005,NaN,963.3284994463802,1.395170854514618,964.7423315474636,-0.01866124656874035,963.2541444147798,1.46952588611498,963.3101245886921,1.413545712202676
"2007Q2",15577.779,206.631,5.25,965.3600754705748,533.0934593832113,4.504753802443247,963.6691985381779,1.690876932396918,965.0288494482423,0.3312260223324301,963.5876897726382,1.772385697936556,963.6475669626639,1.712508507910911
"2007Q3",15671.605,207.939,5.07333,965.9605755120938,533.7244767458718,2.524069450641946,963.9733259262123,1.9872495858815,965.2147597436748,0.7458157684189928,963.885147254004,2.075428258089801,963.9482267043558,2.012348807738022
"2007Q4",15767.146,210.4896666666667,4.49667,966.5683687041123,534.9436562447992,4.876717995709441,964.2436515135944,2.324717190517958,965.2960680882554,1.272300615856921,964.1495945522073,2.418774151905041,964.2149175572224,2.353451146889938
"2008Q1",15702.906,212.7696666666667,3.17667,966.1601069749734,536.0210203447498,4.309456399802457,964.4841872344271,1.675919740546306,965.276238294163,0.8838686808103375,964.38540650324,1.774700471733354,964.4517109827224,1.708395992250985
"2008Q2",15792.773,215.5376666666666,2.09,966.730770931016,537.3135681586598,5.17019125564002,964.700397971057,2.030372959958981,965.1714571797349,1.559313751281024,964.5984696769386,2.132301254077333,964.6641493492822,2.066621581733784
"2008Q3",15709.562,218.861,1.94,966.2024850530005,538.8436825110809,6.120457409684604,964.8987960556688,1.303688997331733,965.0067502501164,1.19573480288409,964.7957798309353,1.40670522206517,964.8588427728234,1.34364228017705
"2008Q4",15366.607,213.8486666666667,0.506667,963.9952057445751,536.5268599753629,-9.267290142872298,965.0871628035469,-1.091957058971843,964.8227361479659,-0.8275304033908242,964.9856654111467,-0.9904596665716099,965.0436930077569,-1.048487263181869
"2009Q1",15187.475,212.3776666666667,0.183333,962.8226353991014,535.8366136318994,-2.760985373854055,965.2740943355991,-2.451458936497716,964.6719908639707,-1.849355464869291,965.1773340542527,-2.35469865515131,965.227441584918,-2.404806185816597
"2009Q2",15161.772,213.507,0.18,962.6532538909199,536.3669619016447,2.121393078981328,965.4675042995715,-2.81425040865156,964.5988150847841,-1.945561193864137,965.3793743596419,-2.726120468722002,965.4181747306033,-2.764920839683327
"2009Q3",15216.647,215.344,0.156667,963.0145304911672,537.223674949136,3.426852189965302,965.6737741813748,-2.659243690207632,964.6290159424104,-1.61448545124324,965.5989032400435,-2.584372748876262,965.6224756672432,-2.607945176075987
"2009Q4",15379.155,217.03,0.12,964.0768300067851,538.0035592832894,3.119537336613575,965.8975265604147,-1.820696553629546,964.7689449569157,-0.6921149501305308,965.8413337828939,-1.764503776108768,965.8451995417438,-1.768369534958651
"2010Q1",15456.059,217.374,0.133333,964.5756373732798,538.1619372318839,0.633511794378137,966.1417219887901,-1.566084615510249,965.0088087938534,-0.433171420573558,966.1104638426619,-1.534826469382097,966.0895715352765,-1.513934161996644
"2010Q2",15605.628,217.2973333333333,0.193333,965.5386897406826,538.1266615366253,-0.1411027810345331,966.4081830832539,-0.8694933425713316,965.3318929692759,0.2067967714066299,966.4089884589564,-0.8702987182738298,966.3577115980539,-0.8190218573713537
"2010Q3",15726.282,217.9343333333333,0.186667,966.3088604477673,538.4193794170666,1.170871521765093,966.6977536576742,-0.3888932099068825,965.7171512850294,0.5917091627378568,966.7386434048429,-0.4297829570756448,966.6507934714382,-0.3419330236708902
"2010Q4",15807.995,219.699,0.186667,966.8271103692053,539.2258427718849,3.225853419273335,967.0107340925797,-0.1836237233743532,966.1456055106745,0.6815048585308432,967.1006205166879,-0.2735101474825115,966.9694790081309,-0.1423686389255181
"2011Q1",15769.911,222.0436666666667,0.156667,966.5859036314018,540.2874059226717,4.246252603147241,967.3471817102431,-0.7612780788413147,966.6041945073989,-0.01829087599708146,967.4958430165096,-0.9099393851078048,967.3142163526943,-0.7283127212924683
"2011Q2",15876.839,224.5683333333334,0.09333329999999999,967.2616659571351,541.4180040972018,4.522392698120257,967.7070390681102,-0.4453731109751971,967.0866721849758,0.1749937721592687,967.9250631824851,-0.6633972253500815,967.6853646692916,-0.4236987121565789
"2011Q3",15870.684,226.0326666666666,0.0833333,967.2228912780705,542.0679531599847,2.599796251131465,968.0897729248277,-0.8668816467571787,967.586609544418,-0.3637182663475187,968.3884645806758,-1.165573302605253,968.0828279266356,-0.8599366485650535
"2011Q4",16048.702,227.0473333333333,0.0733333,968.3383253013681,542.5158512631709,1.791592412745104,968.4945716808475,-0.1562463794793985,968.0993275244599,0.2389977769081497,968.8858161538774,-0.5474908525093269,968.5062452817436,-0.1679199803755864
"2012Q1",16179.968,228.326,0.103333,969.1529212860218,543.077443229004,2.246367863332125,968.920081935592,0.2328393504297992,968.6165098811722,0.5364114048495594,969.4161583615728,-0.2632370755510465,968.9547184312285,0.1982028547932941
"2012Q2",16253.726,228.808,0.153333,969.6077453782113,543.2883223929346,0.8435166557223965,969.3648526344966,0.2428927437147195,969.1322303483952,0.4755150298161652,969.9781894814629,-0.3704441032515433,969.4272441217151,0.1805012564961999
"2012Q3",16282.151,229.841,0.143333,969.7824756135876,543.7387765514336,1.801816633996168,969.8275782475907,-0.04510263400311487,969.6459267740178,0.1365488395698549,970.5704432680766,-0.7879676544889662,969.9229429766141,-0.1404673630264597
"2012Q4",16300.035,231.3693333333333,0.16,969.8922534031813,544.4015279327763,2.651005525370692,970.3071050528679,-0.414851649686625,970.1617921562272,-0.2695387530459357,971.1912219483789,-1.298968545197681,970.4410484326208,-0.5487950294395887
"2013Q1",16441.485,232.2993333333334,0.143333,970.7562992997954,544.8026769920043,1.60459623691213,970.8022511391755,-0.04595183938010905,970.6853849816065,0.0709143181888976,971.838335269551,-1.082035969755566,970.9807061343284,-0.2244068345330561
"2013Q2",16464.402,232.045,0.116667,970.8955874685364,544.6931318374673,-0.4381806181481807,971.3115753130801,-0.4159878445436789,971.2195683492084,-0.3239808806720248,972.5087811234339,-1.613193654897486,971.5407187294363,-0.645131260899916
"2013Q3",16594.743,233.3,0.0833333,971.6841237441809,545.2325179027384,2.157544261084695,971.8336076612484,-0.1494839170675277,971.7679145012679,-0.08379075708705841,973.1988811293879,-1.514757385207076,972.1197486113731,-0.4356248671922458
"2013Q4",16712.76,234.1626666666667,0.0866667,972.3927778506837,545.6016030543361,1.47634060639075,972.3666182779441,0.02615957273962977,972.3307558712131,0.0620219794706145,973.9039486607395,-1.511170810055773,972.7160549665296,-0.3232771158458263
"2014Q1",16654.247,235.621,0.0733333,972.0420537957549,546.2224581930858,2.483420554998702,972.9087838299828,-0.866730034227885,972.9075869849011,-0.8655331891461628,974.6183503674495,-2.57629657169457,973.3276247157545,-1.2855709199996
"2014Q2",16868.109,236.8723333333333,0.09333329999999999,973.3180076785339,546.7521318077632,2.118694458709797,973.4582973339128,-0.1402896553788651,973.4985225879839,-0.1805149094499257,975.3355084177225,-2.017500739188563,973.9522427317002,-0.6342350531662078
"2014Q3",17064.616,237.4783333333333,0.09,974.4762358890149,547.0076391242987,1.022029266141999,974.0128101000107,0.4634257890041908,974.0950220942224,0.3812137947925294,976.047234794406,-1.570998905391093,974.586890405193,-0.1106545161781014
"2014Q4",17141.235,236.8883333333333,0.1,974.9242243231641,546.7588862731006,-0.9950114047924217,974.5698857575189,0.3543385656452074,974.6867397682825,0.2374845548816893,976.7440805423848,-1.819856219220696,975.2281527301516,-0.3039284069874384
"2015Q1",17280.647,235.355,0.11,975.7342483786737,546.1095012575804,-2.597540062080952,975.1273775767983,0.6068708018754023,975.267142012778,0.4671063658956882,977.4156148322292,-1.681366453555484,975.8725455414224,-0.1382971627486995
"2015Q2",17380.875,236.96,0.123333,976.31257427765,546.7891350519488,2.718535177473768,975.6833602898133,0.6292139878366925,975.8320700758715,0.4805042017785581,978.0502694243722,-1.737695146722217,976.5163947185978,-0.2038204409477657
"2015Q3",17437.08,237.855,0.136667,976.6354252252142,547.166124430964,1.507957516060742,976.2362879227802,0.3991373024340419,976.3820362693846,0.2533889558296778,978.6354252252141,-1.999999999999886,977.155939705544,-0.5205144803297799
"2015Q4",17462.579,237.837,0.16,976.7815527534941,547.1585565088595,-0.03027168841799721,976.785007760657,-0.003455007162870061,976.9223579471569,-0.1408051936627999,979.1573770816892,-2.375824328195108,977.7872925583525,-1.005739804858422
"2016Q1",17565.465,237.6893333333333,0.36,977.3690037449436,547.0964498867602,-0.2484264883973992,977.3286165492158,0.04038719572781702,977.460886352586,-0.0918826076424466,979.6276781999977,-2.25867445505412,978.406240011565,-1.037236266621449
"2016Q2",17618.581,239.5903333333333,0.373333,977.6709362762499,547.8930520407936,3.186408616133576,977.8662088748489,-0.19527259859899,978.0040646771332,-0.3331284008833109,980.0563968961346,-2.385460619884725,979.0079402123455,-1.337003936095584
"2016Q3",17724.489,240.6073333333333,0.396667,978.270252164766,548.3166282433256,1.69430481012796,978.3969045659464,-0.1266524011804222,978.5574172861832,-0.2871651214171607,980.4521898145613,-2.181937649795259,979.5869030351913,-1.316650870425292
