"Variables ->","obs_dl_cpi","obs_i","obs_l_y","l_y_gap","l_y","l_y_tnd","dl_y_tnd","dl_y","dl_cpi","e1_dl_cpi","d4l_cpi","e1_d4l_cpi","e3_d4l_cpi","target","i","r","r_gap","r_tnd","shock_l_y_gap","shock_dl_cpi","shock_i","shock_dl_y_tnd","shock_r_tnd","shock_target","ss_r_tnd","ss_dl_y_tnd","ss_target","c1_dl_cpi","c2_dl_cpi","c1_l_y_gap","c2_l_y_gap","c1_i","c2_i","c3_i","c1_dl_y_tnd","c1_r_tnd","c1_target","ttrend","std_shock_l_y_gap","std_shock_dl_cpi","std_shock_i","std_shock_dl_y_tnd","std_shock_r_tnd","std_shock_target"
"Comments ->","Inflation observations","Interest rate observations","Real GDP observations","Output gap (percent)","Output","Output trend","Output trend growth (percent, @ar)","Output growth (percent, @ar)","QoQ inflation (percent, @ar)","Exp. QoQ inflation (percent, @ar)","YoY inflation (percent)","Exp. YoY inflation (percent)","Exp. t+3 YoY inflation (percent)","Inflation Target (percent)","Nominal interest rate (percent p.a.)","Real interest rate (percent p.a.)","Real interest rate gap (pp)","Real interest rate trend (pp)","Output gap shock","Inflation shock","MP shock","Potential output growth shock","Real interest rate trend shock","Inflation target","","","","","","","","","","","","","","Time trend","","","","","",""
"Class[Size] ->","Series[60-by-1]","Series[60-by-1]","Series[60-by-1]","Series[60-by-1]","Series[60-by-1]","Series[60-by-1]","Series[60-by-1]","Series[60-by-1]","Series[60-by-1]","Series[60-by-1]","Series[60-by-1]","Series[60-by-1]","Series[60-by-1]","Series[60-by-1]","Series[60-by-1]","Series[60-by-1]","Series[60-by-1]","Series[60-by-1]","Series[60-by-1]","Series[60-by-1]","Series[60-by-1]","Series[60-by-1]","Series[60-by-1]","Series[60-by-1]","double[1-by-1]","double[1-by-1]","double[1-by-1]","double[1-by-1]","double[1-by-1]","double[1-by-1]","double[1-by-1]","double[1-by-1]","double[1-by-1]","double[1-by-1]","double[1-by-1]","double[1-by-1]","double[1-by-1]","Series[60-by-1]","double[1-by-1]","double[1-by-1]","double[1-by-1]","double[1-by-1]","double[1-by-1]","double[1-by-1]"
"2009Q2",2.121393078981328,0.18,962.6532538909199,-1.726968597470311,962.6532538909199,964.3802224883897,1.058800068702107,-0.6775260327276262,2.121393078981331,1.947551525258992,-0.9466062570151026,-1.989832728121495,1.96925196609861,2.38655795236255,0.1800000000000012,2.169832728121437,1.695693906180235,0.474138821941209,-0.7816669635843544,3.407087397892802,-0.2643569906582986,-0.04552172031924743,-0.05376780915716108,0.07326782702951516,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-43,NaN,NaN,NaN,NaN,NaN,NaN
"2009Q3",3.426852189965302,0.156667,963.0145304911672,-1.648501728461192,963.0145304911674,964.6630322196285,1.131238924953882,1.445106400991028,3.426852189965302,3.265475115348781,-1.620007561944929,1.513183752610343,3.258909473277408,2.47189194876194,0.1566669999999994,-1.35651675261041,-1.7833755852138,0.4268588326033992,-0.7906581285000778,1.069880571101434,-1.350448486080903,-0.02168113687801429,-0.04986610714368884,0.07398979163564534,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-42,NaN,NaN,NaN,NaN,NaN,NaN
"2009Q4",3.119537336613575,0.12,964.0768300067851,-0.8897037345597834,964.0768300067849,964.9665337413447,1.21400608686459,4.249198062470866,3.119537336613576,3.069751803119846,1.476699307926534,2.934383602170017,3.080741408800062,2.522468647669065,0.1200000000000002,-2.814383602170079,-3.216734877623185,0.4023512754531147,-0.222276185245081,-0.09335934449989169,-1.194951303406231,-0.004108945593904023,-0.03182167388994466,0.04776589378331917,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-41,NaN,NaN,NaN,NaN,NaN,NaN
"2010Q1",0.633511794378137,0.133333,964.5756373732798,-0.7145424013999642,964.57563737328,965.2901797746797,1.294584133340319,1.995229465980245,0.6335117943781392,0.6536584700559414,2.325323599984583,1.958389947753247,0.7302265025717545,2.54301582136545,0.1333330000000006,-1.825056947753308,-2.218481569059228,0.3934246213059298,-0.4025683175697088,-1.551513698800323,0.9132771033115805,0.001978655162187796,-0.01869152660187359,0.02279403846329159,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-40,NaN,NaN,NaN,NaN,NaN,NaN
"2010Q2",-0.1411027810345331,0.193333,965.5386897406826,-0.09556794570991217,965.5386897406828,965.6342576863923,1.376311646849571,3.852209469610428,-0.1411027810345349,-0.04048400606483227,1.759699634980619,0.8928655859730947,0.06137896340069082,2.587591867631358,0.1933329999999992,-0.6995325859731585,-1.075559719900286,0.3760271339271367,0.2256015231403458,-0.5291592506866967,1.565253989454896,0.01118592684328419,-0.02805502524820008,0.04887762840245295,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-39,NaN,NaN,NaN,NaN,NaN,NaN
"2010Q3",1.170871521765093,0.186667,966.3088604477673,0.3127115495225053,966.3088604477674,965.996148898245,1.447564847407507,3.080682828337819,1.170871521765091,1.29553439900643,1.195704467930568,0.7397037335287899,1.369744631839622,2.672955598833294,0.1866669999999986,-0.5530367335288529,-0.8891491017995117,0.3361123682706682,0.2811374067688066,0.777880134832984,0.4218920656053495,0.008884365242893426,-0.0523120522637549,0.09412291796507175,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-38,NaN,NaN,NaN,NaN,NaN,NaN
"2010Q4",3.225853419273335,0.186667,966.8271103692053,0.4538945711597888,966.8271103692055,966.3732157980455,1.508267599201637,2.072999685751426,3.225853419273334,3.336999388071477,1.222283488595508,1.898155387018849,3.362975881652988,2.770748135824988,0.1866669999999984,-1.711488387018909,-1.99802691478377,0.2865385277648686,0.06646494996821528,1.251447687184976,-1.247201557776016,0.00545923653488002,-0.06596260367873284,0.115088096875024,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-37,NaN,NaN,NaN,NaN,NaN,NaN
"2011Q1",4.246252603147241,0.156667,966.5859036314018,-0.1781397718765246,966.5859036314017,966.7640434032782,1.563310420930418,-0.9648269512141794,4.246252603147242,4.26994866678794,2.125468690787782,3.228231552743407,4.266521807955639,2.839618888761284,0.1566669999999999,-3.071564552743467,-3.320638423819219,0.2490738710757616,-0.7825403569540128,0.6727798244313954,-1.999592999957462,0.005869581648944838,-0.05881080391262027,0.09594556651879524,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-36,NaN,NaN,NaN,NaN,NaN,NaN
"2011Q2",4.522392698120257,0.09333329999999999,967.2616659571351,0.09098036368977627,967.2616659571349,967.1706855934453,1.626568760667877,2.703049302933728,4.522392698120255,4.582395432169122,3.291342560576476,4.144223538177491,4.576296176769347,2.86143808328986,0.09333329999999616,-4.050890238177555,-4.291224611659162,0.2403343734816163,-0.2312582343499182,0.1493920684463241,-2.30238540507972,0.01958938183050041,-0.03383211048656906,0.05578108340470415,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-35,NaN,NaN,NaN,NaN,NaN,NaN
"2011Q3",2.599796251131465,0.0833333,967.2228912780705,-0.3695299678026902,967.2228912780705,967.5924212458732,1.686942609711473,-0.1550987162577151,2.599796251131464,2.640235736082116,3.64857374291807,3.502169322120273,2.678269564592163,2.828843513631158,0.08333329999999994,-3.418836022120333,-3.677813699010392,0.2589776768900693,-0.7918995559172802,-1.226888513495227,-0.617631518026171,0.02303072511038373,-0.007323259243385439,0.00354923867028532,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-34,NaN,NaN,NaN,NaN,NaN,NaN
"2011Q4",1.791592412745104,0.0733333,968.3383253013681,0.3073416378601992,968.3383253013679,968.0309836635078,1.754249670538071,4.461736093190263,1.791592412745104,1.923363895941107,3.290008491286013,2.709286314484489,1.987018220042521,2.784568958721866,0.07333329999999978,-2.635953014484548,-2.925850663902417,0.2898976494178781,0.2364745521518784,-0.6021866778558103,-0.0676099716370701,0.03600132179774594,0.006817740216815699,-0.0113902035461769,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-33,NaN,NaN,NaN,NaN,NaN,NaN
"2012Q1",2.246367863332125,0.103333,969.1529212860218,0.669439961181947,969.1529212860219,968.4834813248399,1.809990645328579,3.258383938616216,2.246367863332124,2.409353847936302,2.790037306332236,2.261777593786256,2.463200269166832,2.741859521642728,0.1033330000000012,-2.158444593786316,-2.475685274926861,0.317240681140554,0.2374664509734484,0.1716149521518522,-0.4893511788090149,0.03116594184431442,0.006332796664463717,-0.0142525412069499,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-32,NaN,NaN,NaN,NaN,NaN,NaN
"2012Q2",0.8435166557223965,0.153333,969.6077453782113,0.65990458886487,969.6077453782115,968.9478407893463,1.857437858026445,1.819296368758788,0.8435166557223979,1.033055221981339,1.870318295732773,1.478633038445248,1.120994493004891,2.689365850542744,0.1533330000000002,-1.32530003844531,-1.671653180493899,0.3463531420485985,0.09107529410661952,-1.044182242023492,0.6727308249761059,0.02844627723072449,0.01083652902209978,-0.02830771893571118,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-31,NaN,NaN,NaN,NaN,NaN,NaN
"2012Q3",1.801816633996168,0.143333,969.7824756135876,0.3591567472220764,969.7824756135876,969.4233188663652,1.901912308074976,0.6989209415044566,1.801816633996167,1.926271838327187,1.670823391448947,1.704493247844475,1.985476375152533,2.656273104387374,0.1433329999999995,-1.561160247844538,-1.926003233258025,0.3648429854134958,-0.2293863294223402,0.5434199896398321,-0.1489775530503422,0.0302182358511753,0.003125157569757148,-0.01415616110109575,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-30,NaN,NaN,NaN,NaN,NaN,NaN
